market,target,fold_pair_label,top10_overlap_pct,rank_corr
HK,cc,33_vs_34,90.0,0.6519
HK,cc,34_vs_35,70.0,0.6597
HK,cc,35_vs_36,90.0,0.8156
HK,cc,36_vs_37,70.0,0.8143
HK,cc,37_vs_38,80.0,0.7974
HK,cc,38_vs_39,60.0,0.4779
HK,cc,39_vs_40,70.0,0.6623
HK,cc,40_vs_41,80.0,0.7753
HK,cc,41_vs_42,60.0,0.5779
HK,cc,42_vs_43,70.0,0.6
HK,cc,43_vs_44,80.0,0.8052
HK,cc,44_vs_45,80.0,0.7753
HK,cc,45_vs_46,80.0,0.8636
HK,cc,46_vs_47,80.0,0.7792
HK,cc,47_vs_48,80.0,0.5662
HK,cc,48_vs_49,60.0,0.5065
HK,cc,49_vs_50,70.0,0.7273
HK,cc,50_vs_51,70.0,0.7364
HK,cc,51_vs_52,90.0,0.8338
HK,cc,52_vs_53,80.0,0.8013
HK,cc,53_vs_54,60.0,0.6208
HK,cc,54_vs_55,70.0,0.8377
HK,cc,55_vs_56,80.0,0.6377
HK,cc,56_vs_57,80.0,0.8169
HK,cc,57_vs_58,80.0,0.739
HK,cc,58_vs_59,80.0,0.7753
HK,cc,59_vs_60,80.0,0.8948
HK,cc,60_vs_61,70.0,0.8597
HK,cc,61_vs_62,80.0,0.7026
HK,cc,62_vs_63,80.0,0.7623
HK,cc,63_vs_64,80.0,0.9273
HK,cc,64_vs_65,70.0,0.874
HK,cc,65_vs_66,80.0,0.887
HK,cc,66_vs_67,90.0,0.9156
HK,cc,67_vs_68,90.0,0.8506
HK,cc,68_vs_69,80.0,0.8792
HK,cc,69_vs_70,90.0,0.9078
HK,cc,70_vs_71,90.0,0.8571
HK,cc,71_vs_72,70.0,0.8221
HK,cc,72_vs_73,90.0,0.8312
HK,cc,73_vs_74,70.0,0.8221
KR,gap,0_vs_1,60.0,0.5052
KR,gap,1_vs_2,70.0,0.6
KR,gap,2_vs_3,60.0,0.5429
KR,gap,3_vs_4,70.0,0.5442
KR,gap,4_vs_5,80.0,0.6039
KR,gap,5_vs_6,80.0,0.8805
KR,gap,6_vs_7,70.0,0.687
KR,gap,7_vs_8,80.0,0.861
KR,gap,8_vs_9,80.0,0.8299
KR,gap,9_vs_10,90.0,0.9065
KR,gap,10_vs_11,50.0,0.3416
KR,gap,11_vs_12,70.0,0.6104
KR,gap,12_vs_13,80.0,0.7143
KR,gap,13_vs_14,80.0,0.8896
KR,gap,14_vs_15,80.0,0.7636
KR,gap,15_vs_16,80.0,0.8091
KR,gap,16_vs_17,80.0,0.8429
KR,gap,17_vs_18,90.0,0.9481
KR,gap,18_vs_19,90.0,0.926
KR,gap,19_vs_20,100.0,0.9208
KR,gap,20_vs_21,90.0,0.9104
KR,gap,21_vs_22,90.0,0.9429
KR,gap,22_vs_23,80.0,0.861
KR,gap,23_vs_24,80.0,0.8143
KR,gap,24_vs_25,80.0,0.8558
KR,gap,25_vs_26,70.0,0.6338
KR,gap,26_vs_27,70.0,0.7636
KR,gap,27_vs_28,70.0,0.8481
KR,gap,28_vs_29,70.0,0.7052
KR,gap,29_vs_30,90.0,0.8481
KR,gap,30_vs_31,80.0,0.774
KR,gap,31_vs_32,90.0,0.7455
KR,gap,32_vs_33,80.0,0.7325
KR,gap,33_vs_34,70.0,0.7195
KR,gap,34_vs_35,60.0,0.6351
KR,gap,35_vs_36,90.0,0.9195
KR,gap,36_vs_37,80.0,0.8922
KR,gap,37_vs_38,80.0,0.8974
KR,gap,38_vs_39,80.0,0.8792
KR,gap,39_vs_40,80.0,0.8325
KR,gap,40_vs_41,90.0,0.9195
KR,gap,41_vs_42,70.0,0.8753
KR,gap,42_vs_43,70.0,0.874
KR,gap,43_vs_44,90.0,0.8636
KR,gap,44_vs_45,90.0,0.9182
KR,gap,45_vs_46,90.0,0.8987
KR,gap,46_vs_47,60.0,0.4779
KR,gap,47_vs_48,90.0,0.7844
KR,gap,48_vs_49,60.0,0.5935
KR,gap,49_vs_50,80.0,0.7519
KR,gap,50_vs_51,60.0,0.574
KR,gap,51_vs_52,50.0,0.4351
KR,gap,52_vs_53,80.0,0.6481
KR,gap,53_vs_54,60.0,0.7364
KR,gap,54_vs_55,70.0,0.6961
KR,gap,55_vs_56,70.0,0.6805
KR,gap,56_vs_57,70.0,0.7039
KR,gap,57_vs_58,80.0,0.8
KR,gap,58_vs_59,70.0,0.6857
KR,gap,59_vs_60,80.0,0.8753
KR,gap,60_vs_61,80.0,0.8623
KR,gap,61_vs_62,90.0,0.9
KR,gap,62_vs_63,60.0,0.7273
KR,gap,63_vs_64,80.0,0.7831
KR,gap,64_vs_65,90.0,0.8078
KR,gap,65_vs_66,90.0,0.9026
KR,gap,66_vs_67,100.0,0.9156
KR,gap,67_vs_68,100.0,0.939
KR,gap,68_vs_69,80.0,0.7922
KR,gap,69_vs_70,90.0,0.9078
KR,gap,70_vs_71,80.0,0.7558
KR,gap,71_vs_72,100.0,0.9688
KR,gap,72_vs_73,100.0,0.9519
KR,gap,73_vs_74,90.0,0.9156
KR,intraday,0_vs_1,60.0,0.5701
KR,intraday,1_vs_2,50.0,0.361
KR,intraday,2_vs_3,70.0,0.4883
KR,intraday,3_vs_4,70.0,0.561
KR,intraday,4_vs_5,80.0,0.813
KR,intraday,5_vs_6,90.0,0.9091
KR,intraday,6_vs_7,80.0,0.5701
KR,intraday,7_vs_8,80.0,0.7195
KR,intraday,8_vs_9,90.0,0.826
KR,intraday,9_vs_10,80.0,0.8217
KR,intraday,10_vs_11,50.0,0.304
KR,intraday,11_vs_12,70.0,0.513
KR,intraday,12_vs_13,70.0,0.7338
KR,intraday,13_vs_14,80.0,0.7961
KR,intraday,14_vs_15,60.0,0.5273
KR,intraday,15_vs_16,70.0,0.5545
KR,intraday,16_vs_17,70.0,0.5584
KR,intraday,17_vs_18,80.0,0.8468
KR,intraday,18_vs_19,80.0,0.9026
KR,intraday,19_vs_20,80.0,0.8338
KR,intraday,20_vs_21,70.0,0.5455
KR,intraday,21_vs_22,80.0,0.6896
KR,intraday,22_vs_23,80.0,0.4558
KR,intraday,23_vs_24,80.0,0.7208
KR,intraday,24_vs_25,80.0,0.6234
KR,intraday,25_vs_26,80.0,0.7532
KR,intraday,26_vs_27,70.0,0.5039
KR,intraday,27_vs_28,70.0,0.4429
KR,intraday,28_vs_29,40.0,0.0935
KR,intraday,29_vs_30,70.0,0.7247
KR,intraday,30_vs_31,60.0,0.4571
KR,intraday,31_vs_32,40.0,0.3481
KR,intraday,32_vs_33,70.0,0.5974
KR,intraday,33_vs_34,80.0,0.6883
KR,intraday,34_vs_35,70.0,0.5857
KR,intraday,35_vs_36,80.0,0.8104
KR,intraday,36_vs_37,90.0,0.8468
KR,intraday,37_vs_38,90.0,0.8221
KR,intraday,38_vs_39,80.0,0.8662
KR,intraday,39_vs_40,80.0,0.7623
KR,intraday,40_vs_41,70.0,0.7922
KR,intraday,41_vs_42,70.0,0.6532
KR,intraday,42_vs_43,90.0,0.8494
KR,intraday,43_vs_44,90.0,0.7065
KR,intraday,44_vs_45,70.0,0.6494
KR,intraday,45_vs_46,90.0,0.8052
KR,intraday,46_vs_47,80.0,0.8078
KR,intraday,47_vs_48,90.0,0.8247
KR,intraday,48_vs_49,70.0,0.4623
KR,intraday,49_vs_50,80.0,0.5
KR,intraday,50_vs_51,90.0,0.8442
KR,intraday,51_vs_52,80.0,0.8831
KR,intraday,52_vs_53,80.0,0.9182
KR,intraday,53_vs_54,70.0,0.7052
KR,intraday,54_vs_55,60.0,0.5987
KR,intraday,55_vs_56,50.0,0.6156
KR,intraday,56_vs_57,80.0,0.874
KR,intraday,57_vs_58,70.0,0.7
KR,intraday,58_vs_59,70.0,0.126
KR,intraday,59_vs_60,80.0,0.5883
KR,intraday,60_vs_61,80.0,0.7753
KR,intraday,61_vs_62,80.0,0.8143
KR,intraday,62_vs_63,80.0,0.8273
KR,intraday,63_vs_64,60.0,0.5377
KR,intraday,64_vs_65,70.0,0.2701
KR,intraday,65_vs_66,50.0,0.3026
KR,intraday,66_vs_67,80.0,0.5922
KR,intraday,67_vs_68,60.0,0.5766
KR,intraday,68_vs_69,60.0,0.6701
KR,intraday,69_vs_70,70.0,0.7468
KR,intraday,70_vs_71,60.0,0.4818
KR,intraday,71_vs_72,60.0,0.4455
KR,intraday,72_vs_73,70.0,0.3987
KR,intraday,73_vs_74,70.0,0.6182
KR,cc,0_vs_1,70.0,0.4545
KR,cc,1_vs_2,50.0,-0.0571
KR,cc,2_vs_3,70.0,0.4597
KR,cc,3_vs_4,70.0,0.5416
KR,cc,4_vs_5,80.0,0.8156
KR,cc,5_vs_6,90.0,0.8519
KR,cc,6_vs_7,70.0,0.5753
KR,cc,7_vs_8,80.0,0.8468
KR,cc,8_vs_9,80.0,0.8039
KR,cc,9_vs_10,90.0,0.7792
KR,cc,10_vs_11,70.0,0.574
KR,cc,11_vs_12,80.0,0.7221
KR,cc,12_vs_13,80.0,0.8065
KR,cc,13_vs_14,80.0,0.6792
KR,cc,14_vs_15,70.0,0.7013
KR,cc,15_vs_16,80.0,0.8208
KR,cc,16_vs_17,100.0,0.9091
KR,cc,17_vs_18,80.0,0.8078
KR,cc,18_vs_19,80.0,0.8078
KR,cc,19_vs_20,70.0,0.8117
KR,cc,20_vs_21,80.0,0.8481
KR,cc,21_vs_22,80.0,0.7818
KR,cc,22_vs_23,80.0,0.874
KR,cc,23_vs_24,70.0,0.7286
KR,cc,24_vs_25,80.0,0.9195
KR,cc,25_vs_26,80.0,0.8831
KR,cc,26_vs_27,90.0,0.9104
KR,cc,27_vs_28,100.0,0.8844
KR,cc,28_vs_29,80.0,0.7519
KR,cc,29_vs_30,100.0,0.9494
KR,cc,30_vs_31,70.0,0.461
KR,cc,31_vs_32,70.0,0.6195
KR,cc,32_vs_33,80.0,0.7156
KR,cc,33_vs_34,80.0,0.8234
KR,cc,34_vs_35,70.0,0.6026
KR,cc,35_vs_36,60.0,0.4143
KR,cc,36_vs_37,80.0,0.7545
KR,cc,37_vs_38,70.0,0.7299
KR,cc,38_vs_39,90.0,0.9052
KR,cc,39_vs_40,70.0,0.7403
KR,cc,40_vs_41,80.0,0.9494
KR,cc,41_vs_42,80.0,0.7792
KR,cc,42_vs_43,90.0,0.9351
KR,cc,43_vs_44,80.0,0.874
KR,cc,44_vs_45,90.0,0.8403
KR,cc,45_vs_46,80.0,0.8468
KR,cc,46_vs_47,80.0,0.8831
KR,cc,47_vs_48,80.0,0.8247
KR,cc,48_vs_49,80.0,0.7701
KR,cc,49_vs_50,90.0,0.8948
KR,cc,50_vs_51,100.0,0.9065
KR,cc,51_vs_52,80.0,0.7935
KR,cc,52_vs_53,80.0,0.8351
KR,cc,53_vs_54,80.0,0.8026
KR,cc,54_vs_55,70.0,0.8468
KR,cc,55_vs_56,80.0,0.7532
KR,cc,56_vs_57,100.0,0.8766
KR,cc,57_vs_58,90.0,0.913
