fold_id,fold_date,n_train,n_test,train_ic,oos_ic,oos_dir,best_val_loss,epochs_run,overfit_flag
40,2023-06-01,30859,630,0.28731388433966454,-0.06948039761654777,0.42857142857142855,0.9739203023910522,15,OVERFIT_FLAG
41,2023-07-03,31489,630,0.2818218092290323,0.017046278531461564,0.45555555555555555,0.9682167196273803,15,OVERFIT_FLAG
42,2023-08-01,32119,660,0.27884602772560724,0.004348179067848078,0.45454545454545453,0.9353095934941218,15,OVERFIT_FLAG
43,2023-09-01,32779,570,0.28130128496537976,-0.0033097881177558204,0.5105263157894737,0.8986489749871768,15,OVERFIT_FLAG
44,2023-10-04,33349,570,0.28991943693338,-0.007343720442299106,0.42280701754385963,0.9130908024531824,15,OVERFIT_FLAG
45,2023-11-01,33919,660,0.27653491463469304,-0.10080995174624888,0.4863636363636364,0.8553530463465938,15,OVERFIT_FLAG
46,2023-12-01,34579,570,0.27528800912264934,0.05061545245871036,0.4666666666666667,0.9121292914663043,15,OVERFIT_FLAG
47,2024-01-02,35149,660,0.2618522808237034,0.11504453443449349,0.45,0.9444752143962043,15,
48,2024-02-01,35809,570,0.2800474020971736,0.034674043312398276,0.49122807017543857,0.8630113346236092,15,OVERFIT_FLAG
49,2024-03-04,36379,600,0.2646133208927204,-0.08179002491771081,0.525,0.9051156866139379,15,OVERFIT_FLAG
50,2024-04-01,36979,630,0.28224336424658314,0.017919975935753896,0.4793650793650794,0.9361630575410251,15,OVERFIT_FLAG
51,2024-05-02,37609,600,0.2753717911356557,0.1356720342746181,0.555,0.8393226504325867,15,
52,2024-06-03,38209,570,0.24222582943417725,0.10163090637106421,0.4982456140350877,0.9396850327650706,15,
53,2024-07-01,38779,690,0.27739756589774794,-0.05780665080563063,0.45072463768115945,0.8532719977440373,15,OVERFIT_FLAG
54,2024-08-01,39469,630,0.24854379828699993,0.2458031731155373,0.49206349206349204,0.8324817793984567,15,
55,2024-09-02,40099,524,0.25070563027694975,0.13861104874098454,0.5248091603053435,0.9232467422261834,15,
56,2024-10-02,40623,599,0.2855427244799343,-0.18978954865711456,0.38397328881469117,1.0006845202296972,15,OVERFIT_FLAG
57,2024-11-01,41222,630,0.24687146205828112,0.0906650018210689,0.4746031746031746,0.8801153663432959,15,
58,2024-12-02,41852,600,0.2540509185777166,0.07509965739689503,0.4866666666666667,0.8868333715381045,15,
59,2025-01-02,42452,540,0.26048990141431716,-0.007713426025669945,0.5092592592592593,0.8881537300698897,15,OVERFIT_FLAG
60,2025-02-03,42992,600,0.2635840106451835,0.12515296893220743,0.555,0.8649830853237825,15,
61,2025-03-04,43592,600,0.2566991128988358,0.1943526011300036,0.535,0.9158610905919756,15,
62,2025-04-01,44192,660,0.2591999273269265,0.3476102234147012,0.603030303030303,0.8423534733908516,15,
63,2025-05-02,44852,570,0.2312446503284781,0.20039192722171195,0.5263157894736842,0.9274057754211955,15,
64,2025-06-02,45422,568,0.26818626488209046,-0.04382036430226082,0.5,0.9358759489324358,15,OVERFIT_FLAG
65,2025-07-01,45990,688,0.2401588888054908,0.18358055039404853,0.5741279069767442,1.0503432013922267,15,
66,2025-08-01,46678,600,0.24017601944261743,0.07256169293665392,0.4766666666666667,0.9126085002680082,15,
67,2025-09-01,47278,660,0.25466673517787564,-0.06976417809836648,0.4772727272727273,0.8615664179260666,15,OVERFIT_FLAG
68,2025-10-01,47938,540,0.24930735500279486,0.28850170823815446,0.5740740740740741,0.9420842685197529,15,
69,2025-11-03,48478,600,0.24276134160794116,0.05939701281854687,0.5116666666666667,0.9169445767214424,15,
70,2025-12-01,49078,630,0.24868690569006022,-0.11363063373873691,0.44761904761904764,0.9591029217609992,15,OVERFIT_FLAG
71,2026-01-02,49708,630,0.2650367755777749,0.06375610742399276,0.5238095238095238,0.8304047492834238,15,OVERFIT_FLAG
72,2026-02-02,50338,510,0.26755016011515936,0.1754561122821408,0.5294117647058824,0.9356382176280021,15,
73,2026-03-03,50848,630,0.22974891561078686,0.13838928646058055,0.5142857142857142,0.9222513325512409,15,
74,2026-04-01,51478,325,0.24688531621277798,0.2312514338039328,0.5353846153846153,1.0015620036822994,15,
