date,ticker,adv_usd,btc_corr_60d,rank,flat_month_flag
2026-02-02,035720.KS,139033391.11015302,0.09083336008809488,4.0,False
2026-02-02,352820.KS,122854752.5461208,0.07284629696612495,5.0,False
2026-02-02,000660.KS,2707987107.225552,0.05038612165235105,6.0,False
2026-02-02,377300.KS,98957980.85526314,0.03026578620432101,7.0,False
2026-02-02,017670.KS,78089085.38345864,-0.026304275116495225,8.0,False
2026-02-02,055550.KS,77388476.09696165,-0.04957809110261147,9.0,False
2026-03-03,005930.KS,4310998940.605263,0.10158077293400868,1.0,False
2026-03-03,000660.KS,3365549930.076222,0.0643062848753417,2.0,False
2026-03-03,035420.KS,293029400.7042211,0.007361143146624595,3.0,False
2026-03-03,352820.KS,100454191.6716741,-0.04680917870652601,4.0,False
2026-03-03,034730.KS,80364458.87802278,-0.05747828903807387,5.0,False
2026-03-03,377300.KS,64727818.01127821,-0.07353211646312746,6.0,False
2026-03-03,055550.KS,135198553.42960966,-0.11249645178944657,7.0,False
2026-03-03,035720.KS,149833321.3474552,-0.15684392662171995,8.0,False
2026-03-03,017670.KS,105843259.88721804,-0.23344539612786747,9.0,False
2026-03-03,323410.KS,67553607.40935615,-0.38834438704120366,10.0,False
2026-04-01,,,,,True
