date,market,ticker,btc_corr,adv_usd,rank
2022-10-03,HK,6060.HK,-0.0355193022637098,8589027.086987179,22
2022-10-03,HK,0522.HK,-0.04084804273828065,7370443.101923078,23
2022-10-03,HK,1357.HK,-0.08496374655779619,2534944.5662820516,24
2022-10-03,HK,9626.HK,-0.09099193430894968,41832956.69679488,25
2022-11-01,HK,9999.HK,0.1646972657064582,110209447.68703549,1
2022-11-01,HK,6618.HK,0.16051370207359295,40167164.053205125,2
2022-11-01,HK,1833.HK,0.12824246827603292,12395752.195042832,3
2022-11-01,HK,3690.HK,0.11798117853706101,624003573.8608975,4
2022-11-01,HK,3888.HK,0.11018537007150705,24343602.18705129,5
2022-11-01,HK,1024.HK,0.08693081259376145,145703417.6846154,6
2022-11-01,HK,0388.HK,0.07740608969101723,223366841.8192308,7
2022-11-01,HK,1347.HK,0.06796899888919036,23867291.34025641,8
2022-11-01,HK,9618.HK,0.05571623973326608,231783910.35064107,9
2022-11-01,HK,2382.HK,0.05289273995377421,59006768.96923077,10
2022-11-01,HK,0700.HK,0.03862138020386258,967820006.3346157,11
2022-11-01,HK,9888.HK,0.020493777070950285,92344077.60384616,12
2022-11-01,HK,1810.HK,0.007712947053538441,103148493.50532052,13
2022-11-01,HK,1478.HK,-0.0004194751889241,516002.45551282057,14
2022-11-01,HK,0772.HK,-0.028330805631764124,12754525.790641028,15
2022-11-01,HK,2018.HK,-0.03248146927610624,11516124.785641028,16
2022-11-01,HK,9961.HK,-0.03683589205022305,43783372.87051282,17
2022-11-01,HK,0285.HK,-0.05212056477443926,26438472.220448725,18
2022-11-01,HK,3913.HK,-0.05624552423192694,1847512.9566666665,19
2022-11-01,HK,2400.HK,-0.07486484515996403,2959831.926410257,20
2022-11-01,HK,0522.HK,-0.09129357209233982,8097783.811217951,21
2022-11-01,HK,6060.HK,-0.0974169923602248,7373953.454230772,22
2022-11-01,HK,1357.HK,-0.16371347505604783,725146.0114102566,23
2022-11-01,HK,9626.HK,-0.20695125044416918,41927272.737179495,24
2022-12-01,HK,1833.HK,0.1617766224066446,24228575.49862485,1
2022-12-01,HK,9888.HK,0.1591261234354885,86987794.2673077,2
