universe,model,target,strategy,gate,gross_pnl,spread_cost,impact_cost,borrow_cost,residual,net_pnl,source
main_kr,lgbm,cc,tercile_ls,gate_on,0.2085680515033046,1.738444444444445,0.55403743533099,0.1747619047619047,7.494005416219808e-16,-2.258675733034035,pass2
main_kr,lgbm,cc,tercile_lo,gate_on,-0.1349515015237015,3.47688888888889,1.10807487066198,0.0,4.440892098500626e-16,-4.719915261074571,pass2
main_kr,lgbm,cc,tercile_ls,gate_off,0.857963106136277,2.365177777777778,0.7852141541944122,0.2417460317460317,-2.775557561562891e-16,-2.5341748575819447,pass2
main_kr,lgbm,cc,tercile_lo,gate_off,0.2090883300454327,4.730355555555556,1.5704283083888244,0.0,-8.881784197001252e-16,-6.091695533898947,pass2
control_hk,lgbm,gap,tercile_ls,gate_on,1.171233491278731,1.3579777777777782,0.3373746730493907,0.1305952380952381,1.3877787807814454e-16,-0.654714197643676,pass2
control_hk,lgbm,gap,tercile_lo,gate_on,0.7437653696291372,2.7159555555555563,0.6747493460987815,0.0,0.0,-2.6469395320252005,pass2
control_hk,lgbm,gap,tercile_ls,gate_off,1.592390578975285,1.719444444444445,0.4338886453161963,0.1814285714285715,2.775557561562891e-16,-0.7423710822139278,pass2
control_hk,lgbm,gap,tercile_lo,gate_off,1.016186742318015,3.43888888888889,0.8677772906323927,0.0,5.551115123125784e-16,-3.2904794372032673,pass2
control_hk,lgbm,intraday,tercile_ls,gate_on,0.646864248298586,1.3467111111111114,0.3370051338253065,0.1305952380952381,2.7755575615628914e-17,-1.16744723473307,pass2
control_hk,lgbm,intraday,tercile_lo,gate_on,0.3378166111256836,2.693422222222223,0.674010267650613,0.0,2.220446049250313e-16,-3.029615878747152,pass2
control_hk,lgbm,intraday,tercile_ls,gate_off,0.6181507373636511,1.9476888888888897,0.4999600811284226,0.1814285714285715,2.775557561562891e-16,-2.0109268040822323,pass2
control_hk,lgbm,intraday,tercile_lo,gate_off,0.2405991540623063,3.895377777777779,0.9999201622568452,0.0,5.551115123125784e-16,-4.654698785972318,pass2
control_hk,lgbm,cc,tercile_ls,gate_on,0.419547204316771,1.1606222222222224,0.3056536417643041,0.1305952380952381,1.3877787807814454e-16,-1.1773238977649938,pass2
control_hk,lgbm,cc,tercile_lo,gate_on,0.1127195797304757,2.321244444444445,0.6113072835286082,0.0,0.0,-2.819832148242577,pass2
control_hk,lgbm,cc,tercile_ls,gate_off,0.7108564602951633,1.5074444444444448,0.3998461847054566,0.1814285714285715,-2.220446049250313e-16,-1.3778627402833097,pass2
control_hk,lgbm,cc,tercile_lo,gate_off,0.3475176657344784,3.0148888888888896,0.7996923694109133,0.0,-4.440892098500626e-16,-3.4670635925653244,pass2
control_kr,lgbm,gap,tercile_ls,gate_on,1.1612351613010468,0.566586507936508,0.3095547965351144,0.1076388888888889,-2.6367796834847473e-16,0.17745496794053545,pass2
control_kr,lgbm,gap,tercile_lo,gate_on,0.510878321080345,1.133173015873016,0.6191095930702288,0.0,0.0,-1.2414042878629,pass2
control_kr,lgbm,gap,tercile_ls,gate_off,1.6697992427003294,0.7591,0.4178161952540808,0.1489087301587301,-1.6653345369377348e-16,0.3439743172875185,pass2
control_kr,lgbm,gap,tercile_lo,gate_off,0.7705576344460576,1.5182,0.8356323905081616,0.0,-3.3306690738754696e-16,-1.5832747560621039,pass2
control_kr,lgbm,intraday,tercile_ls,gate_on,1.5340550422453147,0.7492706349206351,0.416364358469668,0.1076388888888889,1.8041124150158791e-16,0.2607811599661228,pass2
control_kr,lgbm,intraday,tercile_lo,gate_on,0.5865905904159336,1.49854126984127,0.832728716939336,0.0,-2.220446049250313e-16,-1.7446793963646723,pass2
control_kr,lgbm,intraday,tercile_ls,gate_off,2.341341130103436,1.029559523809524,0.5872631808455273,0.1489087301587301,4.440892098500626e-16,0.5756096952896544,pass2
control_kr,lgbm,intraday,tercile_lo,gate_off,0.8959679244689716,2.059119047619048,1.1745263616910546,0.0,-4.440892098500626e-16,-2.337677484841131,pass2
control_kr,lgbm,cc,tercile_ls,gate_on,0.4563858596917213,0.7278761904761906,0.4124394091606378,0.1076388888888889,6.938893903907227e-17,-0.791568628833996,pass2
control_kr,lgbm,cc,tercile_lo,gate_on,0.1133997710504832,1.4557523809523811,0.8248788183212756,0.0,0.0,-2.1672314282231735,pass2
control_kr,lgbm,cc,tercile_ls,gate_off,0.8686193862685587,0.9635698412698414,0.5434151687243965,0.1489087301587301,2.220446049250313e-16,-0.7872743538844093,pass2
control_kr,lgbm,cc,tercile_lo,gate_off,0.2485666012891079,1.9271396825396827,1.086830337448793,0.0,4.440892098500626e-16,-2.7654034186993677,pass2
index_hk,lgbm,gap,index_threshold,gate_on,0.9904990840790612,0.1704,0.0,0.0027777777777777,9.54097911787244e-18,0.8173213063012835,pass2
index_hk,lgbm,gap,index_threshold,gate_off,1.947488095984074,0.26,0.0,0.0047619047619047,-2.0556473190325164e-16,1.6827261912221692,pass2
index_hk,lgbm,intraday,index_threshold,gate_on,0.1964853340617755,0.246,0.0,0.0090277777777777,-7.979727989493313e-17,-0.05854244371600219,pass2
index_hk,lgbm,intraday,index_threshold,gate_off,0.3446084351299513,0.3356,0.0,0.0131150793650793,-2.0816681711721685e-17,-0.004106644235127991,pass2
index_hk,lgbm,cc,index_threshold,gate_on,0.4148235969249705,0.2088,0.0,0.0049801587301587,1.1796119636642288e-16,0.2010434381948118,pass2
index_hk,lgbm,cc,index_threshold,gate_off,1.2358256643189374,0.2915999999999999,0.0,0.0075198412698412,-2.3939183968479943e-16,0.9367058230490963,pass2
index_kr,lgbm,gap,index_threshold,gate_on,1.6365483078598495,0.2056,0.0,0.0028174603174603,1.2663481374630692e-16,1.4281308475423893,pass2
