date,market,ticker,adv_usd,rank
2023-08-01,KR,000990.KS,15379923.82024612,13
2023-08-01,KR,259960.KS,14083175.88859669,14
2023-08-01,KR,036540.KQ,11708482.509774435,15
2023-08-01,KR,030520.KQ,10336114.904135337,16
2023-08-01,KR,083930.KQ,10141340.075883644,17
2023-08-01,KR,024110.KS,5459932.56775534,18
2023-08-01,KR,032640.KQ,5423916.535054445,19
2023-08-01,KR,060150.KQ,5311941.120676693,20
2023-08-01,KR,002790.KS,4927796.433927251,21
2023-08-01,KR,069960.KQ,4894567.498253348,22
2023-08-01,KR,030000.KS,4657598.074558748,23
2023-08-01,KR,036460.KQ,4635678.787820282,24
2023-08-01,KR,218410.KS,4109010.6334996186,25
2023-08-01,KR,114090.KQ,4015821.293600285,26
2023-08-01,KR,138930.KS,3738526.402597271,27
2023-08-01,KR,053800.KQ,2935862.633761895,28
2023-08-01,KR,215600.KQ,2270528.8759398498,29
2023-08-01,KR,180640.KQ,2000311.496958999,30
2023-09-01,KR,035900.KQ,80811308.67543204,1
2023-09-01,KR,034020.KS,54216212.316165425,2
2023-09-01,KR,005380.KS,52457490.91762219,3
2023-09-01,KR,009150.KS,43642321.42014685,4
2023-09-01,KR,012330.KS,28092243.633722387,5
2023-09-01,KR,122870.KQ,27696727.98184975,6
2023-09-01,KR,086790.KS,23539737.121921483,7
2023-09-01,KR,002790.KS,17107202.04573492,8
2023-09-01,KR,003490.KS,16778018.86921691,9
2023-09-01,KR,047810.KS,16637455.353207385,10
2023-09-01,KR,079370.KQ,14707690.416923389,11
2023-09-01,KR,259960.KS,14216396.792858904,12
2023-09-01,KR,000990.KS,12440816.806655312,13
2023-09-01,KR,020150.KQ,12061309.29223596,14
2023-09-01,KR,114090.KQ,11322422.571539884,15
2023-09-01,KR,034220.KS,10834889.243899088,16
2023-09-01,KR,069960.KQ,10355521.631847832,17
2023-09-01,KR,030520.KQ,7535873.209022556,18
2023-09-01,KR,032640.KQ,5381851.765346643,19
2023-09-01,KR,194700.KQ,4793695.200558696,20
2023-09-01,KR,036540.KQ,4630388.418045113,21
2023-09-01,KR,060150.KQ,4551369.07368421,22
2023-09-01,KR,036460.KQ,4350465.834289313,23
2023-09-01,KR,030000.KS,4025177.5344830817,24
2023-09-01,KR,024110.KS,3958482.8988742367,25
2023-09-01,KR,138930.KS,2945834.2863348075,26
2023-09-01,KR,053800.KQ,2913841.429850212,27
2023-09-01,KR,083930.KQ,2377822.212366512,28
2023-09-01,KR,180640.KQ,2085607.5782066495,29
2023-09-01,KR,215600.KQ,1811613.3518796996,30
2023-10-04,KR,034020.KS,69768149.50488724,1
2023-10-04,KR,035900.KQ,48502862.4859889,2
2023-10-04,KR,005380.KS,45650414.56791823,3
2023-10-04,KR,009150.KS,39305875.30046993,4
2023-10-04,KR,122870.KQ,28900868.559974007,5
2023-10-04,KR,086790.KS,27149677.73506094,6
2023-10-04,KR,012330.KS,25894963.2468051,7
2023-10-04,KR,047810.KS,14837293.151995271,8
2023-10-04,KR,034220.KS,13663330.647487443,9
2023-10-04,KR,003490.KS,11166843.254874147,10
2023-10-04,KR,259960.KS,10503947.450801808,11
2023-10-04,KR,000990.KS,10141000.858062882,12
2023-10-04,KR,020150.KQ,9769010.49010588,13
2023-10-04,KR,079370.KQ,9512153.174173191,14
2023-10-04,KR,078890.KQ,7739207.332607699,15
2023-10-04,KR,036540.KQ,7543366.949624062,16
2023-10-04,KR,024110.KS,6205783.862591011,17
2023-10-04,KR,002790.KS,5220911.1138192415,18
2023-10-04,KR,032640.KQ,4876352.273164834,19
2023-10-04,KR,053800.KQ,4577216.933999061,20
2023-10-04,KR,030000.KS,4505426.065759515,21
2023-10-04,KR,114090.KQ,4397199.743237636,22
2023-10-04,KR,180640.KQ,4312702.91066465,23
2023-10-04,KR,069960.KQ,4245065.36190995,24
2023-10-04,KR,036460.KQ,3790665.399403049,25
2023-10-04,KR,138930.KS,3707359.305700317,26
2023-10-04,KR,218410.KS,3580010.448450754,27
2023-10-04,KR,030520.KQ,2644545.112030075,28
2023-10-04,KR,052790.KQ,2609095.267293233,29
2023-10-04,KR,194700.KQ,2189831.1341455816,30
2023-11-01,KR,005380.KS,59225879.70147616,1
2023-11-01,KR,009150.KS,37571395.32743479,2
2023-11-01,KR,034020.KS,35576880.5962406,3
2023-11-01,KR,086790.KS,26509527.56923256,4
2023-11-01,KR,035900.KQ,26473592.271911718,5
2023-11-01,KR,012330.KS,23408155.401771028,6
2023-11-01,KR,047810.KS,20328862.49115308,7
2023-11-01,KR,034220.KS,13619717.171611587,8
2023-11-01,KR,259960.KS,12498859.575237896,9
2023-11-01,KR,003490.KS,12184520.169248637,10
2023-11-01,KR,122870.KQ,12040232.193110757,11
2023-11-01,KR,078890.KQ,11138982.791509617,12
2023-11-01,KR,000990.KS,8694474.925280485,13
2023-11-01,KR,024110.KS,8538051.149901353,14
2023-11-01,KR,020150.KQ,7067268.566279665,15
2023-11-01,KR,002790.KS,5045930.996858039,16
2023-11-01,KR,032640.KQ,4521048.604386785,17
2023-11-01,KR,030000.KS,4154524.0943886572,18
2023-11-01,KR,138930.KS,4071928.4887453564,19
2023-11-01,KR,069960.KQ,3694857.159505551,20
2023-11-01,KR,079370.KQ,3650515.906332274,21
2023-11-01,KR,053800.KQ,3233917.9372065915,22
2023-11-01,KR,180640.KQ,3219727.945953801,23
2023-11-01,KR,194700.KQ,2848393.5303169056,24
2023-11-01,KR,036540.KQ,2744950.471992481,25
2023-11-01,KR,036460.KQ,2416910.635499589,26
2023-11-01,KR,215600.KQ,2110785.9689849624,27
2023-11-01,KR,114090.KQ,1974173.4481053953,28
2023-11-01,KR,218410.KS,1786286.9233256362,29
2023-11-01,KR,041590.KQ,1237303.0823824543,30
2023-12-01,KR,005380.KS,43609403.096557215,1
2023-12-01,KR,035900.KQ,34701585.99895002,2
2023-12-01,KR,009150.KS,29266007.796952248,3
2023-12-01,KR,259960.KS,28378342.742584,4
2023-12-01,KR,034020.KS,26332425.465789475,5
2023-12-01,KR,086790.KS,22674142.663519885,6
2023-12-01,KR,122870.KQ,20614892.286884543,7
2023-12-01,KR,012330.KS,18357491.459936567,8
2023-12-01,KR,215600.KQ,17924409.32161654,9
2023-12-01,KR,047810.KS,14190249.655241132,10
2023-12-01,KR,079370.KQ,12886855.712536458,11
2023-12-01,KR,000990.KS,12374729.190375501,12
2023-12-01,KR,003490.KS,11693549.550679779,13
2023-12-01,KR,034220.KS,10078879.814583382,14
2023-12-01,KR,020150.KQ,9656000.706835791,15
2023-12-01,KR,024110.KS,5552771.596100615,16
2023-12-01,KR,032640.KQ,5114060.662145684,17
2023-12-01,KR,052790.KQ,4678566.730827068,18
2023-12-01,KR,036540.KQ,3849903.162406015,19
