model,universe,target,strategy,spread_mult,borrow_mult,net_sharpe,ann_return,max_drawdown,spread_cost,borrow_cost
lgbm,main_kr,intraday,tercile_ls,1.0,2.0,-1.842379973193926,-0.34610802704618304,-2.1813916449909714,1.7656111111111115,0.3495238095238095
lgbm,main_kr,cc,tercile_ls,1.0,0.0,-1.7283976458938022,-0.34481042989138333,-2.212831694321627,1.738444444444445,0.0
lgbm,main_kr,cc,tercile_ls,1.0,1.0,-1.8726013186825032,-0.37372704184148176,-2.374895186385118,1.738444444444445,0.17476190476190476
lgbm,main_kr,cc,tercile_ls,1.0,1.5,-1.9446370459133098,-0.388185347816531,-2.455926932416866,1.738444444444445,0.26214285714285723
lgbm,main_kr,cc,tercile_ls,1.0,2.0,-2.0166264612860996,-0.4026436537915803,-2.5369586784486144,1.738444444444445,0.3495238095238095
lgbm,index_hk,gap,index_threshold,1.0,0.0,1.5505556444237991,0.13551801258224486,-0.0809408584811602,0.1704,0.0
lgbm,index_hk,gap,index_threshold,1.0,1.0,1.5454818137751358,0.13505899618880224,-0.08100038229068401,0.1704,0.0027777777777777775
lgbm,index_hk,gap,index_threshold,1.0,1.5,1.5429438403921076,0.13482948799208092,-0.08103014419544592,0.1704,0.004166666666666667
lgbm,index_hk,gap,index_threshold,1.0,2.0,1.5404051640976413,0.13459997979535962,-0.08105990610020783,0.1704,0.005555555555555555
lgbm,index_hk,intraday,index_threshold,1.0,0.0,-0.06954954011841956,-0.008182095617332828,-0.46374116643781427,0.24600000000000005,0.0
lgbm,index_hk,intraday,index_threshold,1.0,1.0,-0.08223474230368519,-0.009673898896021375,-0.468145928342576,0.24600000000000005,0.009027777777777777
lgbm,index_hk,intraday,index_threshold,1.0,1.5,-0.08857782114054354,-0.01041980053536556,-0.47034830929495697,0.24600000000000005,0.013541666666666667
lgbm,index_hk,intraday,index_threshold,1.0,2.0,-0.09492120899775221,-0.011165702174709868,-0.4725506902473381,0.24600000000000005,0.018055555555555554
lgbm,index_hk,cc,index_threshold,1.0,0.0,0.25394248880818204,0.03404455503284759,-0.30532918889821625,0.20880000000000004,0.0
lgbm,index_hk,cc,index_threshold,1.0,1.0,0.24781082884362013,0.033221604213175465,-0.30905934762837506,0.20880000000000004,0.0049801587301587305
lgbm,index_hk,cc,index_threshold,1.0,1.5,0.244744802459194,0.0328101288033394,-0.31092442699345435,0.20880000000000004,0.007470238095238096
lgbm,index_hk,cc,index_threshold,1.0,2.0,0.24167864745680953,0.03239865339350333,-0.3127895063585338,0.20880000000000004,0.009960317460317461
lgbm,index_kr,gap,index_threshold,1.0,0.0,2.6974228080188407,0.23692442416601983,-0.12980984055274078,0.20560000000000003,0.0
lgbm,index_kr,gap,index_threshold,1.0,1.0,2.692366379837023,0.23645793270741272,-0.1298495230924233,0.20560000000000003,0.0028174603174603175
lgbm,index_kr,gap,index_threshold,1.0,1.5,2.689836717730028,0.2362246869781092,-0.1298693643622646,0.20560000000000003,0.004226190476190476
lgbm,index_kr,gap,index_threshold,1.0,2.0,2.6873060926929693,0.23599144124880558,-0.12988920563210588,0.20560000000000003,0.005634920634920635
lgbm,index_kr,intraday,index_threshold,1.0,0.0,0.20754766601997746,0.015627922228381434,-0.16921310718766094,0.1444,0.0
lgbm,index_kr,intraday,index_threshold,1.0,1.0,0.19904889503822285,0.014987317760575908,-0.16998691671147048,0.1444,0.003869047619047619
lgbm,index_kr,intraday,index_threshold,1.0,1.5,0.19479908435583562,0.014667015526673165,-0.1703738214733752,0.1444,0.005803571428571429
lgbm,index_kr,intraday,index_threshold,1.0,2.0,0.19054899848474582,0.01434671329277039,-0.17076072623528,0.1444,0.007738095238095238
lgbm,index_kr,cc,index_threshold,1.0,0.0,0.9049795462564783,0.10639952217488807,-0.18650502350940992,0.14800000000000002,0.0
lgbm,index_kr,cc,index_threshold,1.0,1.0,0.9013183142769234,0.10596588222745049,-0.18713994414433058,0.14800000000000002,0.002619047619047619
lgbm,index_kr,cc,index_threshold,1.0,1.5,0.8994874241804222,0.1057490622537317,-0.18745740446179085,0.14800000000000002,0.003928571428571429
lgbm,index_kr,cc,index_threshold,1.0,2.0,0.8976563523675744,0.10553224228001291,-0.1877748647792512,0.14800000000000002,0.005238095238095238
tcn,main_hk,gap,tercile_ls,1.0,0.0,-2.543268968869301,-0.3107152474870331,-1.9085772865240604,2.637667261904762,0.0
tcn,main_hk,gap,tercile_ls,1.0,1.0,-2.8343909882095657,-0.34670606113532704,-2.1228630008097746,2.637667261904762,0.21765873015873016
tcn,main_hk,gap,tercile_ls,1.0,1.5,-2.9795375085164606,-0.36470146795947417,-2.230005857952632,2.637667261904762,0.3264880952380952
tcn,main_hk,gap,tercile_ls,1.0,2.0,-3.1243895162122253,-0.382696874783621,-2.3371487150954877,2.637667261904762,0.4353174603174603
tcn,main_hk,intraday,tercile_ls,1.0,0.0,-1.8874236942955205,-0.43319685646035083,-2.7479556053588694,2.584336904761905,0.0
tcn,main_hk,intraday,tercile_ls,1.0,1.0,-2.0432611200862616,-0.4691876701086448,-2.959463541866809,2.584336904761905,0.21765873015873016
tcn,main_hk,intraday,tercile_ls,1.0,1.5,-2.1210941910311316,-0.4871830769327918,-3.065217510120773,2.584336904761905,0.3264880952380952
tcn,main_hk,intraday,tercile_ls,1.0,2.0,-2.1988673090751147,-0.5051784837569387,-3.1709714783747422,2.584336904761905,0.4353174603174603
tcn,main_hk,cc,tercile_ls,1.0,0.0,-1.9141267915860345,-0.4827075868538579,-3.0338933578964014,2.519870238095238,0.0
tcn,main_hk,cc,tercile_ls,1.0,1.0,-2.0559443662007166,-0.5186984005021519,-3.245798119801162,2.519870238095238,0.21765873015873016
tcn,main_hk,cc,tercile_ls,1.0,1.5,-2.126781687272743,-0.5366938073262988,-3.351750500753544,2.519870238095238,0.3264880952380952
tcn,main_hk,cc,tercile_ls,1.0,2.0,-2.197569210008621,-0.5546892141504458,-3.4577028817059277,2.519870238095238,0.4353174603174603
tcn,main_kr,gap,tercile_ls,1.0,0.0,-1.4727832678436426,-0.15280066287562322,-1.1320561981167496,1.8982333333333337,0.0
tcn,main_kr,gap,tercile_ls,1.0,1.0,-1.7503021254564164,-0.1817172748257217,-1.286659372719922,1.8982333333333337,0.17476190476190476
tcn,main_kr,gap,tercile_ls,1.0,1.5,-1.8888361674098986,-0.19617558080077094,-1.3639609600215103,1.8982333333333337,0.26214285714285723
tcn,main_kr,gap,tercile_ls,1.0,2.0,-2.0272039912113753,-0.21063388677582018,-1.4415369930661501,1.8982333333333337,0.3495238095238095
tcn,main_kr,intraday,tercile_ls,1.0,0.0,-1.1222109277307397,-0.2267885705707701,-1.4462787729734337,1.9857333333333338,0.0
tcn,main_kr,intraday,tercile_ls,1.0,1.0,-1.2649692985871275,-0.2557051825208686,-1.6042152809099408,1.9857333333333338,0.17476190476190476
tcn,main_kr,intraday,tercile_ls,1.0,1.5,-1.3363050945271053,-0.27016348849591787,-1.6831835348781934,1.9857333333333338,0.26214285714285723
tcn,main_kr,intraday,tercile_ls,1.0,2.0,-1.407609770198272,-0.2846217944709671,-1.76215178884645,1.9857333333333338,0.3495238095238095
tcn,main_kr,cc,tercile_ls,1.0,0.0,-1.470170579973978,-0.33998644006831114,-2.1503152689034692,1.8292777777777782,0.0
tcn,main_kr,cc,tercile_ls,1.0,1.0,-1.5947467966394941,-0.36890305201840967,-2.323807332395535,1.8292777777777782,0.17476190476190476
tcn,main_kr,cc,tercile_ls,1.0,1.5,-1.6569929470345997,-0.383361357993459,-2.410553364141568,1.8292777777777782,0.26214285714285723
tcn,main_kr,cc,tercile_ls,1.0,2.0,-1.7192096742635923,-0.3978196639685082,-2.497299395887597,1.8292777777777782,0.3495238095238095
tcn,index_hk,gap,index_threshold,1.0,0.0,-0.07322615102313997,-0.003685691530399551,-0.15364813695768728,0.016,0.0
tcn,index_hk,gap,index_threshold,1.0,1.0,-0.07616104307711491,-0.00383323251400611,-0.15424337505292537,0.016,0.0008928571428571429
tcn,index_hk,gap,index_threshold,1.0,1.5,-0.07762856039312636,-0.003907003005809384,-0.1545409941005444,0.016,0.0013392857142857143
tcn,index_hk,gap,index_threshold,1.0,2.0,-0.07909612359374331,-0.0039807734976126646,-0.15483861314816347,0.016,0.0017857142857142859
tcn,index_hk,intraday,index_threshold,1.0,0.0,0.08197328774879412,0.0038443845726604396,-0.11697961992062611,0.0144,0.0
tcn,index_hk,intraday,index_threshold,1.0,1.0,0.07820067979839106,0.0036673353923325712,-0.11719787388888006,0.0144,0.0010714285714285715
tcn,index_hk,intraday,index_threshold,1.0,1.5,0.07631423810388537,0.003578810802168639,-0.11730700087300706,0.0144,0.0016071428571428571
tcn,index_hk,intraday,index_threshold,1.0,2.0,0.07442770749520751,0.0034902862120047037,-0.11741612785713404,0.0144,0.002142857142857143
tcn,index_hk,cc,index_threshold,1.0,0.0,0.4988838467750096,0.030593259667229752,-0.0578622870784251,0.0152,0.0
tcn,index_hk,cc,index_threshold,1.0,1.0,0.4973380196549758,0.030494899011492046,-0.057882128348266365,0.0152,0.0005952380952380953
tcn,index_hk,cc,index_threshold,1.0,1.5,0.4965648782548751,0.030445718683623193,-0.057892048983187006,0.0152,0.0008928571428571428
tcn,index_hk,cc,index_threshold,1.0,2.0,0.495791585294801,0.030396538355754336,-0.05790196961810764,0.0152,0.0011904761904761906
tcn,index_kr,gap,index_threshold,1.0,0.0,-0.5937821383536919,-0.0301478445722047,-0.2738086277206212,0.014,0.0
tcn,index_kr,gap,index_threshold,1.0,1.0,-0.5954477353704957,-0.03023654365236238,-0.27410624676824014,0.014,0.0005357142857142857
tcn,index_kr,gap,index_threshold,1.0,1.5,-0.5962802173539908,-0.03028089319244122,-0.2742550562920497,0.014,0.0008035714285714287
tcn,index_kr,gap,index_threshold,1.0,2.0,-0.5971124878625651,-0.03032524273252007,-0.27440386581585924,0.014,0.0010714285714285715
tcn,index_kr,intraday,index_threshold,1.0,0.0,-0.3407209011348791,-0.024504361345220143,-0.2866200532322747,0.0092,0.0
tcn,index_kr,intraday,index_threshold,1.0,1.0,-0.34229165127927963,-0.024616056483196497,-0.2866597357719572,0.0092,0.0006746031746031747
tcn,index_kr,intraday,index_threshold,1.0,1.5,-0.3430770336302555,-0.024671904052184664,-0.2866795770417985,0.0092,0.0010119047619047618
tcn,index_kr,intraday,index_threshold,1.0,2.0,-0.34386242050339644,-0.024727751621172845,-0.28669941831163975,0.0092,0.0013492063492063493
tcn,index_kr,cc,index_threshold,1.0,0.0,-0.795424474001711,-0.0618504764254364,-0.44528842496825294,0.011600000000000001,0.0
tcn,index_kr,cc,index_threshold,1.0,1.0,-0.7980065732738549,-0.0620541557946874,-0.44618128211111013,0.011600000000000001,0.0012301587301587302
tcn,index_kr,cc,index_threshold,1.0,1.5,-0.7992973407563734,-0.06215599547931288,-0.4466277106825388,0.011600000000000001,0.0018452380952380955
tcn,index_kr,cc,index_threshold,1.0,2.0,-0.8005879193411187,-0.06225783516393837,-0.44707413925396733,0.011600000000000001,0.0024603174603174604
