model,universe,target,strategy,gate,net_sharpe_fixed,gross_sharpe_fixed,ann_return_fixed,spread_cost_fixed,max_drawdown_fixed,pct_days_invested,net_sharpe_cs,ann_return_cs,spread_cost_cs,max_drawdown_cs,delta_net_sharpe,spread_cost_ratio
tcn,index_hk,intraday,index_threshold,gate_off,0.0640385159716091,0.1255723412045619,0.0030834101250601,0.0168,-0.096977003360836,5.639344262295082,-0.0369071461416831,-0.0017748193831365,0.0462,-0.1140770033608361,-0.1009456621132922,2.75
tcn,index_hk,intraday,index_threshold,gate_on,0.078200679798391,0.1326783117923365,0.0036673353923325,0.0144,-0.11719787388888,4.786885245901639,-0.0021362851059083,-0.0001002711650444,0.0372,-0.12769787388888,-0.0803369649042993,2.583333333333333
tcn,index_kr,cc,index_threshold,gate_off,-0.5023851244932985,-0.4774208918510321,-0.0454099551438176,0.012,-0.3942599649965384,7.6215505913272015,-0.5080160125466231,-0.0459066699927007,0.015,-0.3947599649965383,-0.0056308880533245675,1.25
tcn,index_kr,cc,index_threshold,gate_on,-0.7980065732738549,-0.7700308909507418,-0.0620541557946874,0.0116,-0.4461812821111101,5.650459921156373,-0.8043464280733554,-0.062534313481941,0.0144999999999999,-0.4476812821111101,-0.0063398547995004995,1.2499999999999916
tcn,index_kr,gap,index_threshold,gate_off,-0.6874773252642209,-0.6440223126849937,-0.0395333330685167,0.0144,-0.3309559738936788,5.650459921156373,-0.6978375352701663,-0.0401293908871763,0.018,-0.3321559738936788,-0.010360210005945447,1.25
tcn,index_kr,gap,index_threshold,gate_on,-0.5954477353704957,-0.547990226921037,-0.0302365436523623,0.014,-0.2741062467682401,4.7963206307490145,-0.6068636204840582,-0.0308160443093926,0.0175,-0.2752062467682402,-0.011415885113562507,1.25
tcn,index_kr,intraday,index_threshold,gate_off,-0.2504778353623099,-0.2203279912840164,-0.0193747853251862,0.0132,-0.2866597357719572,6.176084099868594,-0.2575160920485279,-0.0199211716589575,0.0165,-0.2872597357719572,-0.007038256686217992,1.25
tcn,index_kr,intraday,index_threshold,gate_on,-0.3422916512792796,-0.3193667844551804,-0.0246160564831964,0.0092,-0.2866597357719572,4.270696452036794,-0.3476279170458517,-0.0249968712006735,0.0115,-0.2872597357719572,-0.005336265766572146,1.25
tcn,main_hk,cc,tercile_lo,gate_off,-8.145918129636904,0.3909552057552197,-1.3316200565408076,7.06614880952381,-8.050870680136505,100.0,-21.455988095429017,-4.360220023929297,25.38196765992086,-26.34984703450372,-13.310069965792113,3.5920511079119715
tcn,main_hk,cc,tercile_lo,gate_on,-6.553125622340407,0.3843145017733702,-0.94022774651303,5.039740476190476,-5.704246849837294,71.98162729658793,-14.808167305774347,-3.1171343587284612,18.20484236911237,-18.851241121834025,-8.25504168343394,3.612257903977102
tcn,main_hk,cc,tercile_ls,gate_off,-2.397534619816428,0.118545996680226,-0.7118657129339271,3.533074404761905,-4.430879382341418,100.0,-7.360848737338247,-2.226165696628171,12.69098382996043,-13.470434789367584,-4.963314117521819,3.5920511079119715
tcn,main_hk,cc,tercile_ls,gate_on,-2.0559443662007166,0.0533572301923381,-0.5186984005021519,2.519870238095238,-3.245798119801162,71.98162729658793,-6.081458982516994,-1.6071517066098673,9.102421184556183,-9.749973185404782,-4.025514616316277,3.6122579039771017
tcn,main_hk,gap,tercile_lo,gate_off,-14.567684982011205,1.729983103546213,-1.3461274801786864,7.526967857142857,-8.131117060763936,100.0,-29.80168463664043,-4.631484301883916,27.39555435031258,-27.984163052136207,-15.233999654629226,3.639653426221962
tcn,main_hk,gap,tercile_lo,gate_on,-10.63726223221907,1.8726268366068175,-0.9113833944277108,5.275334523809524,-5.511699575824729,71.98162729658793,-17.783388437326256,-3.2419012610131483,19.36941876458812,-19.605783816603314,-7.146126205107185,3.6716948806121796
tcn,main_hk,gap,tercile_ls,gate_off,-3.7297463310324,1.6085602896111555,-0.5581046120282832,3.763483928571429,-3.3597604181315632,100.0,-13.370181592983077,-2.200783022880898,13.69777717515629,-13.286283413817705,-9.640435261950676,3.6396534262219618
